timestamp,arp_total,arp_request_count,arp_reply_count,req_reply_ratio,gratuitous_arp_count,broadcast_count,packet_rate,request_rate,reply_rate,src_ip_entropy,src_mac_entropy,target_ip_entropy,unique_src_ip_count,unique_src_mac_count,top1_ip_share,digest_sample_count,ip_mac_consistency_score,new_ip_ratio,digests_processed,packets_dropped,cpu_load,ctx_voluntary,ctx_involuntary,mem_rss_bytes,digest_latency_mean_us,digest_latency_max_us,iat_mean_ms,iat_min_ms,iat_std_ms,window_buf_depth,flush_duration_ms,label
2026-05-01T22:55:54,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.02,10,0,17731584,0.0,0.0,0.0,0.0,0.0,0,0.1,1
2026-05-01T22:55:57,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1.0,0.0,0,0,0.02,3,0,17743872,0.0,0.0,0.0,0.0,0.0,0,0.03,1
2026-05-01T22:56:00,72630,58250,14380,4.0505,0,58250,24202.0563,19410.2958,4791.7606,10.4753,10.5046,2.8507,5000,5096,0.2021,7263,0.9808,1.0,7263,0,1.19,3,0,20496384,17.5,566.03,0.3728,0.0078,0.8688,7263,25.32,1
2026-05-01T22:56:03,64480,60613,3867,15.6704,0,60613,21483.9427,20195.5059,1288.4368,11.9623,12.0013,0.836,5493,5611,0.0596,6448,0.9408,0.9605,6448,0,1.18,3,0,22974464,18.54,1240.34,0.4689,0.0055,0.6459,6448,23.61,1
2026-05-01T22:56:06,78060,65975,12085,5.4588,0,65975,26008.1254,21981.6305,4026.495,11.1471,11.1876,2.2371,5925,6073,0.1571,7806,0.8938,0.9561,7806,0,1.4,3,0,27312128,18.2,805.73,0.3875,-17.3662,0.5462,7806,23.76,1
2026-05-01T22:56:09,74630,64295,10325,6.2265,10,184613670,24868.8322,21424.9172,3440.5828,11.3169,11.3563,1.9571,5817,5954,0.1377,7463,0.8477,0.9531,7463,0,1.35,5,0,29474816,18.69,902.0,0.4048,-15.6672,0.5237,7463,25.45,1
2026-05-01T22:56:12,66830,60751,6079,9.9919,0,60751,22266.5464,20241.1336,2025.4128,11.614,11.6532,1.3787,5456,5578,0.098,6683,0.8209,0.9582,6683,0,1.32,4,0,31150080,19.73,488.83,0.4524,-23.2977,0.7414,6683,29.09,1
2026-05-01T22:56:15,82090,66448,15642,4.2478,0,66448,27352.4536,22140.5267,5211.9269,10.767,10.8016,2.7629,5902,6035,0.1934,8209,0.7791,0.9549,8209,0,1.51,3,1,34553856,19.2,1785.36,0.3695,-0.1221,0.4018,8209,39.72,1
2026-05-01T22:56:18,62170,57402,4768,12.0365,0,57402,20711.6943,19123.2536,1588.4407,11.7333,11.7628,1.1068,5234,5319,0.0791,6217,0.7568,0.9614,6217,0,1.32,3,0,35905536,23.16,2451.49,0.4899,-0.5817,0.6004,6217,28.94,1
2026-05-01T22:56:21,69450,57452,11998,4.7881,0,57452,23137.2646,19140.1314,3997.1332,10.7838,10.8171,2.4801,5151,5257,0.1764,6945,0.7235,0.9612,6945,0,1.46,3,0,37531648,22.45,1842.18,0.4357,0.0071,0.5024,6945,32.05,1
